image_name,gender,age_group,emoticon,ornaments,character_name,face_pos_1x,face_pos_1y,face_pos_2x,face_pos_2y
data (55).jpg,1,4,5,5,-1,137,204,404,523
data (57).jpg,2,3,5,5,-1,298,623,772,1085
data (58).jpg,2,3,5,5,-1,238,416,578,787
data (59).jpg,1,4,5,1,-1,437,1501,774,1840
data (60).jpg,1,4,5,1,-1,261,1061,989,1671
data (61).jpg,2,3,5,5,-1,619,410,885,665
data (62).jpg,2,4,3,1,-1,324,616,816,1172
data (64).jpg,2,4,5,5,-1,232,474,918,1383
data (65).jpg,2,3,5,5,-1,427,647,688,873
data (66).jpg,2,3,5,5,-1,402,1008,692,1234
data (67).jpg,1,4,5,5,-1,337,990,753,1446
data (68).jpg,1,4,4,5,-1,565,1044,883,1441
data (69).jpg,2,3,5,5,-1,444,518,744,797
data (70).jpg,1,5,3,5,-1,346,602,688,1066
data (71).jpg,2,3,4,5,-1,12,705,212,932
data (71).jpg,2,4,5,2,-1,856,613,963,720
data (72).jpg,2,3,4,5,-1,408,901,657,1113
data (72).jpg,2,4,5,2,-1,709,596,808,701
data (73).jpg,2,3,2,5,-1,368,722,604,932
data (74).jpg,1,4,5,5,-1,75,740,462,1159
data (75).jpg,1,4,5,1,-1,316,653,524,801
data (80).jpg,2,3,5,5,-1,449,802,613,968
data (81).jpg,1,4,4,5,-1,181,775,738,1390
data (82).jpg,1,4,5,5,-1,93,726,277,927
data (83).jpg,2,3,5,5,-1,352,695,567,973
data (84).jpg,2,3,5,5,-1,312,855,551,1136
data (85).jpg,2,3,5,5,-1,492,437,731,736
data (86).jpg,2,3,4,5,-1,383,403,762,844
data (87).jpg,2,3,4,5,-1,386,424,676,760
data (88).jpg,2,3,3,5,-1,592,742,818,1052
data (89).jpg,2,3,3,5,-1,546,787,774,1048
data (90).jpg,2,3,3,5,-1,309,709,546,956
data (91).jpg,2,3,5,5,-1,370,585,685,927
data (92).jpg,2,3,4,5,-1,542,700,993,1272
data (93).jpg,2,3,4,5,-1,313,541,913,1300
data (94).jpg,2,3,4,5,-1,311,531,744,1131
data (95).jpg,2,3,5,5,-1,638,702,908,1030
data (96).jpg,1,4,5,5,-1,25,846,459,1331
data (96).jpg,1,4,2,1,-1,718,1009,1090,1340
data (97).jpg,1,5,5,1,-1,440,963,704,1265
data (99).jpg,2,4,5,1,-1,172,562,637,1081
data (100).jpg,2,3,3,5,-1,688,330,960,655
data (101).jpg,2,3,2,5,-1,504,624,740,876
data (102).jpg,2,3,3,5,-1,485,763,692,993
data (104).jpg,2,3,5,5,-1,262,746,474,904
data (105).jpg,2,3,4,5,-1,458,833,644,1047
data (106).jpg,1,4,5,5,-1,579,602,789,866
data (107).jpg,1,4,5,5,-1,420,610,644,908
data (108).jpg,1,4,5,5,-1,432,622,663,906
data (109).jpg,2,4,4,5,-1,357,355,666,783
data (110).jpg,2,4,4,5,-1,179,468,454,902
data (111).jpg,2,4,4,5,-1,456,589,818,1042
data (112).jpg,2,3,4,1,-1,308,768,723,1163
data (112).jpg,1,4,4,5,-1,806,1102,994,1340
data (113).jpg,2,3,5,5,-1,1133,369,1411,625
data (114).jpg,2,3,2,5,-1,368,485,690,888
data (115).jpg,2,3,4,5,-1,582,673,747,912
data (115).jpg,2,5,3,5,-1,351,1374,465,1507
data (116).jpg,1,5,5,1,-1,252,765,422,975
data (117).jpg,1,5,5,1,-1,375,559,640,871
data (117).jpg,1,5,5,5,-1,721,751,878,973
data (118).jpg,1,5,5,5,-1,207,709,391,1074
data (118).jpg,1,5,5,5,-1,574,785,741,1016
data (119).jpg,1,5,5,5,-1,363,806,555,1098
data (119).jpg,1,5,2,5,-1,586,772,778,1018
data (120).jpg,1,5,2,5,-1,407,657,962,1351
data (121).jpg,1,5,3,1,-1,129,641,346,890
data (121).jpg,1,3,5,5,-1,753,692,844,769
data (121).jpg,1,3,5,5,-1,1010,680,1073,758
data (121).jpg,1,3,5,5,-1,53,713,124,781
data (122).jpg,2,3,4,5,-1,557,662,988,1172
data (122).jpg,1,3,4,5,-1,1,746,324,1261
data (123).jpg,2,3,5,5,-1,308,678,678,1105
data (124).jpg,2,3,5,5,-1,1158,311,1432,608
data (125).jpg,2,3,5,5,-1,418,846,596,1017
data (126).jpg,2,3,4,5,-1,298,622,588,888
data (127).jpg,2,3,4,5,-1,638,279,1012,753
data (128).jpg,2,3,4,5,-1,383,520,650,874
data (129).jpg,2,3,4,5,-1,552,569,832,900
data (130).jpg,2,3,4,5,-1,448,289,706,605
data (131).jpg,2,3,5,5,-1,524,432,700,669
data (132).jpg,1,5,5,5,-1,9,40,276,371
data (133).jpg,2,3,5,5,-1,145,222,476,670
data (134).jpg,2,3,5,5,-1,219,214,471,563
data (135).jpg,2,3,5,5,-1,400,492,851,1056
data (135).jpg,2,3,5,2,-1,9,553,319,1090
data (136).jpg,2,3,5,5,-1,106,176,305,387
data (137).jpg,2,3,5,1,-1,16,198,307,524
data (138).jpg,2,3,5,5,-1,61,134,310,452
data (139).jpg,2,3,5,5,-1,131,364,404,682
data (140).jpg,2,3,5,4,-1,748,570,1002,851
data (141).jpg,2,3,4,5,-1,49,173,385,540
data (142).jpg,2,3,5,1,-1,24,136,284,421
data (143).jpg,2,3,4,1,-1,33,121,354,499
data (144).jpg,2,3,5,1,-1,41,102,391,528
data (145).jpg,2,3,5,5,-1,34,100,214,285
data (146).jpg,1,3,5,1,-1,500,465,765,866
data (147).jpg,2,3,5,5,-1,31,77,215,284
data (148).jpg,1,4,5,5,-1,29,118,228,350
data (149).jpg,1,3,4,5,-1,73,233,518,802
data (150).jpg,2,3,5,5,-1,56,169,260,393
data (151).jpg,2,3,5,5,-1,58,274,257,475
data (152).jpg,2,3,5,5,-1,34,190,239,450
data (153).jpg,2,3,5,5,-1,19,244,306,579
data (154).jpg,2,3,4,5,-1,13,223,256,544
data (155).jpg,2,3,4,5,-1,196,164,330,419
data (156).jpg,2,3,4,5,-1,137,183,397,508
data (157).jpg,1,3,5,1,-1,520,532,674,791
data (157).jpg,1,3,5,1,-1,847,1418,924,1475
data (157).jpg,2,3,5,5,-1,1006,730,1050,776
data (157).jpg,2,3,5,5,-1,881,733,920,772
data (158).jpg,2,3,4,5,-1,74,118,205,293
data (159).jpg,2,3,5,5,-1,91,293,324,577
data (160).jpg,2,3,2,5,-1,187,411,930,979
data (161).jpg,2,3,3,5,-1,120,206,418,550
data (162).jpg,2,3,3,5,-1,54,103,210,282
data (163).jpg,2,3,5,5,-1,70,255,424,731
data (164).jpg,2,3,5,5,-1,78,147,302,404
data (165).jpg,2,3,3,5,-1,43,62,150,186
data (166).jpg,1,4,4,5,-1,24,59,186,250
data (167).jpg,1,4,4,5,-1,9,252,373,668
data (168).jpg,2,3,5,5,-1,120,579,334,831
data (169).jpg,1,3,5,1,-1,727,539,923,755
data (170).jpg,1,5,5,1,-1,45,248,480,771
data (171).jpg,1,5,2,1,-1,34,212,497,747
data (172).jpg,2,3,2,5,-1,167,203,349,456
data (173).jpg,2,3,2,5,-1,216,317,614,897
data (174).jpg,1,5,4,5,-1,113,183,343,429
data (175).jpg,2,4,4,5,-1,70,103,225,278
data (176).jpg,1,4,3,5,-1,77,66,210,244
data (177).jpg,2,4,5,5,-1,17,206,262,406
data (178).jpg,2,3,4,5,-1,69,247,422,649
data (179).jpg,2,3,4,5,-1,50,184,253,402
data (180).jpg,2,3,4,5,-1,81,543,445,945
data (180).jpg,1,3,4,1,-1,391,272,778,700
data (181).jpg,2,3,4,5,-1,51,120,303,467
data (182).jpg,2,3,4,5,-1,47,159,318,481
data (183).jpg,1,4,3,1,-1,29,97,198,282
data (184).jpg,1,4,2,5,-1,76,80,199,262
data (185).jpg,2,3,4,1,-1,32,82,151,181
data (186).jpg,2,3,3,5,-1,96,103,264,302
data (187).jpg,2,3,3,5,-1,308,202,523,620
data (188).jpg,1,4,3,5,-1,118,232,594,827
data (189).jpg,1,4,4,5,-1,42,130,263,436
data (190).jpg,2,3,4,5,-1,83,372,529,890
data (191).jpg,2,2,4,5,-1,174,380,908,1158
data (192).jpg,1,1,2,5,-1,50,185,336,619
data (193).jpg,1,1,2,5,-1,5,261,401,732
data (194).jpg,2,3,5,5,-1,658,733,1351,1594
data (195).jpg,2,4,5,5,-1,179,187,424,477
data (196).jpg,2,3,5,5,-1,316,235,577,536
data (197).jpg,2,3,5,5,-1,635,711,1381,1635
data (198).jpg,2,3,4,5,-1,448,188,785,588
data (199).jpg,2,3,4,5,-1,468,197,827,612
data (200).jpg,2,3,4,5,-1,474,186,860,594
data (201).jpg,2,3,4,5,-1,465,213,848,588
data (203).jpg,2,3,5,5,-1,464,220,840,586
data (204).jpg,2,3,5,5,-1,474,195,841,551
data (205).jpg,2,3,5,5,-1,482,216,836,568
data (206).jpg,2,3,5,5,-1,481,201,840,581
data (207).jpg,2,3,5,5,-1,481,180,838,595
data (208).jpg,2,3,5,5,-1,477,203,827,595
data (209).jpg,2,3,5,5,-1,483,200,820,583
data (210).jpg,2,3,5,5,-1,489,172,814,591
data (211).jpg,2,3,5,5,-1,470,237,833,609
data (212).jpg,2,3,4,5,-1,472,223,810,600
data (213).jpg,2,3,4,5,-1,244,68,760,736
data (215).jpg,2,3,5,5,-1,414,198,765,603
data (216).jpg,2,3,5,5,-1,429,175,765,600
data (218).jpg,2,3,5,5,-1,65,84,140,167
data (219).jpg,2,3,4,5,-1,127,161,366,442
data (220).jpg,2,3,5,5,-1,97,167,238,306
data (221).jpg,2,3,4,5,-1,168,169,330,339
data (222).jpg,2,3,4,5,-1,130,156,366,437
data (224).jpg,2,3,4,5,-1,380,791,586,950
data (225).jpg,2,3,5,5,-1,177,231,455,545
data (226).jpg,2,3,5,5,-1,445,165,814,591
data (227).jpg,2,3,5,5,-1,422,204,794,616
data (228).jpg,2,3,5,5,-1,448,225,768,593
data (229).jpg,2,3,4,5,-1,453,220,809,632
data (231).jpg,2,3,4,5,-1,461,230,874,682
data (232).jpg,2,3,4,5,-1,458,233,876,666
data (233).jpg,2,3,4,5,-1,452,244,790,636
data (235).jpg,1,4,3,5,-1,347,761,794,1247
data (236).jpg,2,3,4,5,-1,434,225,793,623
data (238).jpg,2,3,5,5,-1,494,206,850,580
data (240).jpg,2,4,4,5,-1,490,190,828,568
data (242).jpg,2,4,4,5,-1,448,237,837,644
data (244).jpg,2,4,4,5,-1,461,198,844,620
data (246).jpg,2,3,5,5,-1,323,717,723,1171
data (247).jpg,2,3,4,5,-1,564,767,1435,1846
data (248).jpg,2,3,5,5,-1,814,1635,2285,3271
data (249).jpg,2,4,5,5,-1,282,435,771,956
data (250).jpg,2,3,5,5,-1,225,220,480,508
data (251).jpg,2,3,5,5,-1,1048,880,2004,1860
data (252).jpg,2,4,5,5,-1,150,246,454,551
data (253).jpg,2,4,5,5,-1,347,245,727,657
data (254).jpg,2,4,5,5,-1,197,252,501,591
data (255).jpg,2,3,5,5,-1,346,636,1010,1344
data (256).jpg,2,3,4,5,-1,277,479,870,1155
data (257).jpg,2,3,4,5,-1,452,892,622,1060
data (258).jpg,2,3,4,5,-1,69,139,240,306
data (259).jpg,2,3,4,1,-1,69,91,197,217
data (260).jpg,2,4,2,5,-1,145,198,395,480
data (261).jpg,2,3,4,5,-1,120,165,288,327
data (262).jpg,2,3,4,5,-1,162,243,444,546
data (263).jpg,2,3,4,5,-1,176,292,552,672
data (264).jpg,2,4,4,5,-1,151,132,363,368
data (265).jpg,2,2,5,5,-1,97,146,256,318
data (266).jpg,2,3,5,5,-1,96,168,312,388
data (267).jpg,2,3,4,5,-1,982,1305,1794,2170
data (268).jpg,2,3,3,5,-1,428,756,756,1144
data (269).jpg,2,3,5,5,-1,392,301,683,609
data (270).jpg,2,3,5,5,-1,118,152,287,319
data (271).jpg,2,3,4,5,-1,293,393,662,813
data (272).jpg,2,3,5,5,-1,265,190,472,415
data (273).jpg,2,4,4,5,-1,183,204,403,466
data (275).jpg,2,3,4,5,-1,144,251,476,624
data (276).jpg,2,3,5,5,-1,166,313,574,707
data (279).jpg,2,3,2,5,-1,572,644,845,1095
data (281).jpg,2,3,4,5,-1,75,100,166,190
data (282).jpg,2,4,4,5,-1,60,112,190,248
data (283).jpg,2,4,4,5,-1,174,528,1096,1657
data (285).jpg,2,3,5,5,-1,186,252,444,544
data (287).jpg,2,3,4,5,-1,190,140,385,354
data (288).jpg,2,3,4,5,-1,353,562,981,1281
data (289).jpg,2,3,5,5,-1,158,164,356,369
data (290).jpg,2,3,4,5,-1,154,221,344,417
data (291).jpg,2,3,5,1,-1,523,635,764,871
data (292).jpg,2,3,5,5,-1,1052,882,1952,1858
data (293).jpg,2,3,5,5,-1,136,205,331,413
data (296).jpg,2,3,4,5,-1,128,192,370,467
data (297).jpg,2,3,4,5,-1,159,146,335,343
data (298).jpg,2,3,5,5,-1,302,297,793,819
data (299).jpg,2,4,4,5,-1,82,134,283,360
data (300).jpg,2,3,4,5,-1,127,177,307,389
data (301).jpg,2,4,4,5,-1,241,300,582,684
data (302).jpg,2,3,4,5,-1,635,699,996,1075
data (303).jpg,2,4,4,5,-1,134,212,358,477
data (304).jpg,2,4,4,5,-1,561,904,1366,1871
data (308).jpg,2,4,5,5,-1,259,401,744,899
data (309).jpg,2,3,5,5,-1,218,172,498,543
data (310).jpg,2,4,4,5,-1,385,482,885,1017
data (311).jpg,2,3,4,5,-1,262,213,530,548
data (313).jpg,2,3,4,5,-1,449,540,738,840
data (315).jpg,2,3,4,5,-1,382,514,850,1042
data (317).jpg,2,3,5,5,-1,393,300,686,637
data (318).jpg,2,3,5,5,-1,369,511,888,1125
data (319).jpg,2,4,5,5,-1,366,248,712,686
data (320).jpg,2,3,4,5,-1,152,181,338,401
data (322).jpg,2,4,5,5,-1,365,465,918,1113
data (323).jpg,2,4,5,5,-1,160,238,457,565
data (324).jpg,2,3,2,5,-1,578,680,1002,1168
data (325).jpg,2,3,5,5,-1,312,366,748,866
data (326).jpg,2,4,4,5,-1,133,153,312,345
data (327).jpg,2,4,4,5,-1,123,153,323,367
data (329).jpg,2,3,4,5,-1,219,357,570,739
data (330).jpg,2,4,5,5,-1,160,287,523,690
data (331).jpg,2,3,5,5,-1,1061,895,2000,1885
data (334).jpg,2,3,5,5,-1,259,134,474,348
data (335).jpg,2,3,4,5,-1,518,390,675,560
data (336).jpg,2,3,4,5,-1,196,291,627,722
data (340).jpg,2,3,4,5,-1,71,149,231,313
data (342).jpg,2,3,4,5,-1,242,218,584,560
data (346).jpg,2,3,4,5,-1,119,361,638,880
data (346).jpg,2,3,5,1,-1,632,572,1034,960
data (347).jpg,2,3,4,5,-1,100,36,318,255
data (352).jpg,2,3,5,5,-1,271,440,394,563
data (352).jpg,2,3,5,5,-1,100,63,307,276
data (355).jpg,2,4,5,5,-1,99,125,245,301
data (356).jpg,2,3,5,5,-1,353,338,700,684
data (357).jpg,2,3,5,5,-1,294,811,680,1197
data (361).jpg,2,3,5,5,-1,233,133,366,266
data (362).jpg,2,4,4,5,-1,52,105,200,253
data (363).jpg,2,4,5,5,-1,193,295,697,800
data (364).jpg,2,3,4,5,-1,362,453,887,977
data (365).jpg,2,3,5,5,-1,162,350,225,413
data (365).jpg,2,3,5,5,-1,212,548,308,671
data (366).jpg,2,3,5,5,-1,55,198,221,364
data (368).jpg,2,3,4,5,-1,428,756,700,1028
data (369).jpg,2,4,5,5,-1,406,731,650,1048
data (371).jpg,1,3,4,5,-1,127,185,382,440
data (373).jpg,2,3,4,5,-1,88,161,248,322
data (375).jpg,2,3,5,5,-1,203,307,607,775
data (377).jpg,1,3,5,5,-1,201,203,277,279
data (378).jpg,2,3,5,5,-1,138,197,379,438
data (379).jpg,2,3,5,5,-1,511,617,805,911
data (380).jpg,2,3,4,5,-1,38,124,312,398
data (381).jpg,1,3,6,5,-1,138,227,359,459
data (382).jpg,2,3,4,5,-1,359,91,401,133
data (382).jpg,2,3,4,5,-1,68,101,181,218
data (383).jpg,1,3,5,5,-1,27,72,135,180
data (383).jpg,1,3,5,5,-1,210,70,306,171
data (383).jpg,1,4,5,5,-1,383,69,478,172
data (383).jpg,1,4,6,5,-1,20,249,122,373
data (383).jpg,1,4,5,5,-1,206,240,301,362
data (383).jpg,1,4,5,5,-1,370,260,481,379
data (387).jpg,1,4,5,5,-1,111,113,383,385
data (388).jpg,2,3,4,5,-1,104,146,325,367
data (390).jpg,1,3,6,5,-1,400,511,506,618
data (390).jpg,2,3,6,5,-1,830,592,922,702
data (391).jpg,2,3,4,5,-1,460,528,752,820
data (392).jpg,1,3,6,5,-1,146,198,285,338
data (393).jpg,2,3,5,5,-1,94,171,410,487
data (394).jpg,2,4,5,5,-1,106,136,461,491
data (395).jpg,2,4,5,5,-1,33,145,329,441
data (396).jpg,1,4,5,5,-1,169,193,509,532
data (398).jpg,2,3,5,5,-1,132,85,628,582
data (399).jpg,2,3,4,5,-1,110,148,294,333
data (400).jpg,1,3,5,5,-1,224,73,364,213
data (401).jpg,1,3,5,5,-1,297,486,811,1046
data (402).jpg,1,4,5,5,-1,43,662,568,1187
data (403).jpg,1,3,4,5,-1,71,138,364,430
data (407).jpg,2,3,4,5,-1,190,278,581,668
data (408).jpg,2,3,4,5,-1,112,58,339,285
data (410).jpg,2,3,5,5,-1,78,191,284,405
data (411).jpg,2,3,5,5,-1,38,200,328,490
data (412).jpg,2,1,4,5,-1,149,132,328,311
data (413).jpg,2,3,5,5,-1,438,952,647,1161
data (414).jpg,1,3,5,5,-1,125,248,459,658
data (415).jpg,2,3,5,5,-1,225,175,735,685
data (417).jpg,1,3,5,5,-1,301,189,390,278
data (418).jpg,2,4,4,5,-1,96,128,318,350
data (419).jpg,2,3,5,5,-1,19,119,1204,1585
data (421).jpg,2,3,5,5,-1,77,119,265,325
data (423).jpg,2,4,4,5,-1,112,147,340,375
data (424).jpg,1,3,3,5,-1,264,980,1020,1736
data (425).jpg,1,5,5,5,-1,189,131,453,395
data (427).jpg,1,3,5,5,-1,57,81,168,193
data (428).jpg,2,3,5,5,-1,85,90,238,243
data (429).jpg,1,4,5,5,-1,61,150,292,381
data (432).jpg,1,4,5,5,-1,98,155,315,372
data (435).jpg,1,3,2,5,-1,333,713,819,1200
data (436).jpg,1,4,5,5,-1,250,455,344,566
data (437).jpg,1,4,5,1,-1,126,176,481,532
data (439).jpg,1,4,5,5,-1,187,156,440,409
data (441).jpg,2,3,4,5,-1,210,149,309,248
data (443).jpg,2,3,5,5,-1,89,75,223,208
data (443).jpg,2,3,5,5,-1,78,453,217,597
data (445).jpg,2,3,5,5,-1,459,85,632,266
data (446).jpg,2,3,4,5,-1,257,666,638,1048
data (447).jpg,2,3,5,5,-1,189,260,592,663
data (448).jpg,1,3,5,5,-1,395,255,546,406
data (449).jpg,2,3,5,5,-1,396,716,704,1024
data (450).jpg,1,3,5,5,-1,71,128,235,292
data (455).jpg,2,3,4,5,-1,173,158,334,293
data (456).jpg,2,3,4,5,-1,248,108,397,285
data (456).jpg,2,3,5,5,-1,407,466,455,507
data (457).jpg,1,3,6,5,-1,344,894,700,1250
data (458).jpg,1,4,5,5,-1,79,126,282,352
data (459).jpg,1,4,5,5,-1,76,134,300,358
data (461).jpg,2,3,5,5,-1,187,87,368,268
data (466).jpg,2,3,4,5,-1,147,54,399,306
data (467).jpg,2,3,5,5,-1,392,90,614,312
data (468).jpg,2,3,5,5,-1,361,580,830,1050
data (469).jpg,1,3,4,5,-1,94,161,335,402
data (470).jpg,1,3,5,5,-1,173,120,338,286
data (471).jpg,2,3,5,5,-1,186,262,716,792
data (472).jpg,2,3,5,5,-1,118,288,491,662
data (473).jpg,2,3,5,1,-1,356,900,776,1320
data (474).jpg,2,3,4,5,-1,382,863,627,1108
data (475).jpg,2,3,5,1,-1,423,547,794,917
data (476).jpg,2,3,5,1,-1,378,542,785,949
data (477).jpg,2,3,5,1,-1,383,550,721,932
data (478).jpg,2,3,4,1,-1,260,789,739,1301
data (479).jpg,2,3,5,5,-1,327,570,694,937
data (480).jpg,2,4,5,1,-1,350,400,986,1036
data (481).jpg,2,3,5,5,-1,1082,158,1376,452
data (482).jpg,2,3,4,5,-1,250,721,831,1303
data (483).jpg,2,3,4,5,-1,252,742,847,1338
data (484).jpg,2,3,4,5,-1,329,405,894,970
data (485).jpg,2,3,3,5,-1,150,570,1080,1500
data (486).jpg,2,3,4,5,-1,242,557,1114,1428
data (487).jpg,2,3,3,5,-1,411,1025,741,1355
data (488).jpg,2,3,3,5,-1,434,1018,773,1357
data (489).jpg,2,3,4,5,-1,864,253,1371,760
data (490).jpg,2,3,4,5,-1,652,736,966,1050
data (491).jpg,1,3,2,5,-1,167,728,974,1535
data (492).jpg,2,3,5,5,-1,369,702,827,1161
data (493).jpg,1,4,5,1,-1,886,237,1306,658
data (494).jpg,1,4,5,1,-1,964,284,1364,684
data (495).jpg,2,3,5,5,-1,569,1564,697,1692
data (495).jpg,1,3,5,5,-1,410,676,638,923
data (496).jpg,1,4,3,5,-1,793,256,1271,734
data (498).jpg,2,3,6,1,-1,338,1033,661,1357
data (499).jpg,2,3,4,1,-1,323,1058,605,1341
data (500).jpg,1,4,6,1,-1,431,716,822,1257
data (501).jpg,2,3,4,5,-1,142,910,603,1371
data (502).jpg,2,3,5,5,-1,143,481,828,1165
data (503).jpg,1,4,5,1,-1,320,736,726,1142
data (504).jpg,2,4,2,1,-1,1174,108,1377,312
data (505).jpg,1,4,6,5,-1,1081,400,1277,629
data (505).jpg,1,3,6,5,-1,1692,529,1799,666
data (505).jpg,1,3,6,1,-1,1464,561,1561,651
data (505).jpg,1,4,2,1,-1,468,540,566,640
data (506).jpg,1,4,4,5,-1,438,978,653,1193
data (507).jpg,1,4,5,5,-1,946,215,1346,615
data (508).jpg,2,3,2,1,-1,402,550,664,748
data (509).jpg,1,3,6,1,-1,215,965,893,1765
data (510).jpg,1,3,6,1,-1,352,936,976,1560
data (511).jpg,1,3,6,1,-1,360,944,1000,1584
data (512).jpg,1,3,6,1,-1,477,1000,875,1397
data (513).jpg,2,3,4,5,-1,488,548,768,828
data (514).jpg,1,3,6,1,-1,512,988,952,1468
data (515).jpg,1,3,4,1,-1,1264,342,1607,685
data (516).jpg,2,3,4,5,-1,467,685,832,1050
data (517).jpg,1,3,6,1,-1,368,781,778,1190
data (518).jpg,1,3,6,5,-1,262,840,703,1281
data (519).jpg,1,3,3,1,-1,367,892,785,1310
data (520).jpg,1,4,2,5,-1,1328,232,1684,588
data (520).jpg,1,4,5,5,-1,396,140,728,596
data (521).jpg,2,3,4,5,-1,452,494,733,775
data (522).jpg,1,3,6,5,-1,556,1056,743,1243
data (523).jpg,1,3,4,5,-1,174,948,792,1566
data (524).jpg,2,3,4,5,-1,418,702,697,981
data (525).jpg,1,3,4,5,-1,18,550,559,1090
data (526).jpg,1,2,3,5,-1,1087,194,1307,415
data (527).jpg,2,4,3,5,-1,1197,277,1675,755
data (528).jpg,1,4,6,5,-1,678,936,887,1174
data (529).jpg,1,4,6,5,-1,560,946,824,1266
data (531).jpg,1,4,4,5,-1,583,1036,800,1258
data (532).jpg,1,4,4,5,-1,607,994,843,1230
data (533).jpg,1,5,3,5,-1,404,1171,700,1466
data (534).jpg,1,3,4,5,-1,576,663,741,821
data (534).jpg,1,4,6,5,-1,167,609,401,803
data (535).jpg,2,3,4,5,-1,625,583,897,855
data (536).jpg,2,3,4,5,-1,507,407,758,658
data (537).jpg,1,4,4,5,-1,368,356,740,728
data (538).jpg,1,4,1,5,-1,340,380,718,758
data (539).jpg,1,4,6,5,-1,946,375,1387,815
data (540).jpg,2,3,2,5,-1,958,228,1471,741
data (541).jpg,2,3,2,5,-1,980,284,1504,808
data (542).jpg,1,4,2,5,-1,165,243,487,565
data (542).jpg,1,4,6,5,-1,812,296,1031,587
data (542).jpg,1,4,2,5,-1,437,600,834,1159
data (543).jpg,1,5,4,5,-1,474,579,695,800
data (544).jpg,1,4,5,5,-1,1061,174,1341,453
data (545).jpg,1,3,4,1,-1,299,621,774,1096
data (546).jpg,2,3,5,5,-1,416,511,681,904
data (547).jpg,1,3,6,1,-1,334,653,793,1112
data (548).jpg,1,4,4,5,-1,566,961,733,1122
data (548).jpg,1,4,4,5,-1,380,1011,494,1127
data (549).jpg,2,3,6,5,-1,556,502,825,771
data (550).jpg,1,4,3,5,-1,723,179,1223,679
data (551).jpg,1,4,5,5,-1,1334,165,1488,318
data (552).jpg,1,3,5,5,-1,406,510,923,1027
data (553).jpg,2,4,5,5,-1,493,1044,753,1304
data (554).jpg,1,5,4,5,-1,1378,196,1715,534
data (554).jpg,1,3,5,5,-1,765,0,1100,181
data (555).jpg,1,3,6,1,-1,484,616,1068,1200
data (556).jpg,1,4,5,5,-1,265,609,881,1387
data (557).jpg,2,3,6,5,-1,758,105,1647,841
data (558).jpg,2,3,4,5,-1,238,689,466,917
data (559).jpg,1,4,4,5,-1,489,761,797,1069
data (560).jpg,2,3,4,5,-1,202,871,602,1258
data (561).jpg,2,3,4,5,-1,375,921,675,1221
